param,true_value,mod_gen,scen
alpha,2.2,mod1a,a22b2d50h40
beta,2,mod1a,a22b2d50h40
delta1,0.5,mod1a,a22b2d50h40
delta2,40,mod1a,a22b2d50h40
alpha,2.2,mod1a,a22b2d65h40
beta,2,mod1a,a22b2d65h40
delta1,0.65,mod1a,a22b2d65h40
delta2,40,mod1a,a22b2d65h40
alpha,2.2,mod1a,a22b2d80h40
beta,2,mod1a,a22b2d80h40
delta1,0.8,mod1a,a22b2d80h40
delta2,40,mod1a,a22b2d80h40
alpha,2.2,mod1b,a22b2d10h40
beta,2,mod1b,a22b2d10h40
delta1,0.1,mod1b,a22b2d10h40
delta2,40,mod1b,a22b2d10h40
alpha,2.2,mod1b,a22b2d15h40
beta,2,mod1b,a22b2d15h40
delta1,0.15,mod1b,a22b2d15h40
delta2,40,mod1b,a22b2d15h40
alpha,2.2,mod1b,a22b2d20h40
beta,2,mod1b,a22b2d20h40
delta1,0.2,mod1b,a22b2d20h40
delta2,40,mod1b,a22b2d20h40
alpha,2.4,mod2a,a24b2d005
beta,2,mod2a,a24b2d005
delta1,0.005,mod2a,a24b2d005
alpha,2.4,mod2a,a24b2d01
beta,2,mod2a,a24b2d01
delta1,0.01,mod2a,a24b2d01
alpha,2.4,mod2a,a24b2d015
beta,2,mod2a,a24b2d015
delta1,0.015,mod2a,a24b2d015
alpha,2.4,mod2b,a24b2d001
beta,2,mod2b,a24b2d001
delta1,0.001,mod2b,a24b2d001
alpha,2.4,mod2b,a24b2d0015
beta,2,mod2b,a24b2d0015
delta1,0.0015,mod2b,a24b2d0015
alpha,2.4,mod2b,a24b2d002
beta,2,mod2b,a24b2d002
delta1,0.002,mod2b,a24b2d002
alpha,2.4,mod3a,a24b2d80d02
beta,2,mod3a,a24b2d80d02
delta1,0.8,mod3a,a24b2d80d02
delta2,0.02,mod3a,a24b2d80d02
alpha,2.4,mod3a,a24b2d80d03
beta,2,mod3a,a24b2d80d03
delta1,0.8,mod3a,a24b2d80d03
delta2,0.03,mod3a,a24b2d80d03
alpha,2.4,mod3a,a24b2d80d04
beta,2,mod3a,a24b2d80d04
delta1,0.8,mod3a,a24b2d80d04
delta2,0.04,mod3a,a24b2d80d04
alpha,2.4,mod3b,a24b2d04d005
beta,2,mod3b,a24b2d04d005
delta1,0.4,mod3b,a24b2d04d005
delta2,0.005,mod3b,a24b2d04d005
alpha,2.4,mod3b,a24b2d04d007
beta,2,mod3b,a24b2d04d007
delta1,0.4,mod3b,a24b2d04d007
delta2,0.007,mod3b,a24b2d04d007
alpha,2.4,mod3b,a24b2d04d009
beta,2,mod3b,a24b2d04d009
delta1,0.4,mod3b,a24b2d04d009
delta2,0.009,mod3b,a24b2d04d009
alpha,2.4,mod4a,a24b2d3d05
beta,2,mod4a,a24b2d3d05
delta1,3,mod4a,a24b2d3d05
delta2,0.05,mod4a,a24b2d3d05
alpha,2.4,mod4a,a24b2d3d075
beta,2,mod4a,a24b2d3d075
delta1,3,mod4a,a24b2d3d075
delta2,0.075,mod4a,a24b2d3d075
alpha,2.4,mod4a,a24b2d3d10
beta,2,mod4a,a24b2d3d10
delta1,3,mod4a,a24b2d3d10
delta2,0.1,mod4a,a24b2d3d10
alpha,2.4,mod4b,a24b2d3d20
beta,2,mod4b,a24b2d3d20
delta1,3,mod4b,a24b2d3d20
delta2,0.2,mod4b,a24b2d3d20
alpha,2.4,mod4b,a24b2d3d15
beta,2,mod4b,a24b2d3d15
delta1,3,mod4b,a24b2d3d15
delta2,0.15,mod4b,a24b2d3d15
alpha,2.4,mod4b,a24b2d3d10
beta,2,mod4b,a24b2d3d10
delta1,3,mod4b,a24b2d3d10
delta2,0.1,mod4b,a24b2d3d10